master_nlc,station_name,latitude,longitude
5425,South Bermondsey,51.48795000,-0.05445508
5410,South Croydon,51.36290600,-0.09327221
704,South Ealing,51.50086200,-0.30768875
3138,South Greenford,51.53328600,-0.33644730
1451,South Hampstead,51.54137500,-0.17875021
707,South Harrow,51.56464800,-0.35222693
708,South Kensington,51.49404800,-0.17304516
709,South Kenton,51.57037600,-0.30860066
5292,South Merton,51.40342900,-0.20555728
861,South Quay,51.50003500,-0.01624897
710,South Ruislip,51.55698800,-0.39906917
7404,South Tottenham,51.58043700,-0.07178231
711,South Wimbledon,51.41517300,-0.19264347
712,South Woodford,51.59177700,0.02743335
3187,Southall,51.50605500,-0.37736762
6947,Southbury,51.64787100,-0.05268940
705,Southfields,51.44577300,-0.20661767
706,Southgate,51.63232200,-0.12778670
784,Southwark,51.50410200,-0.10504975
1548,St Albans City,51.75028000,-0.32986331
5290,St Helier,51.38954000,-0.19879923
6973,St James Street,51.58114700,-0.03218953
695,St James's Park,51.49927900,-0.13459822
5059,St Johns,51.46909200,-0.02218452
696,St John's Wood,51.53535100,-0.17420357
5604,St Margaret's (Greater London),51.45515400,-0.32021785
6821,St Margarets (Hertfordshire),51.78795900,0.00108595
5073,St Mary Cray,51.39470500,0.10625226
1555,St Pancras International,51.53188900,-0.12684951
697,St Paul's,51.51542000,-0.09872846
713,Stamford Brook,51.49497200,-0.24588893
6968,Stamford Hill,51.57442900,-0.07665468
714,Stanmore,51.61885700,-0.30262415
889,Star Lane,51.52054100,0.00420265
715,Stepney Green,51.52170600,-0.04671742
716,Stockwell,51.47220700,-0.12249873
6934,Stoke Newington,51.56506600,-0.07267799
717,Stonebridge Park,51.54410600,-0.27623234
5606,Stoneleigh,51.36324300,-0.24844133
719,Stratford,51.54129400,-0.00355279
749,Stratford High Street,51.53764700,-0.00012179
504,Stratford International DLR,51.54570900,-0.00935930
7222,Stratford International NR,51.54479900,-0.00875000
5607,Strawberry Hill,51.43916700,-0.33930782
5383,Streatham,51.42583400,-0.13159236
5384,Streatham Common,51.41856500,-0.13593019
