lon,lat,avgPtai2015,ptalNumeric
0.035291,51.393372,6.62823,3.0
0.038405,51.390693,7.89737,3.0
0.017015,51.396258,20.9143,6.0
0.027646,51.396439,10.8991,4.0
0.003149,51.414654,3.9783,2.0
-0.000283,51.410153,8.33057,3.0
0.007438,51.410792,10.5695,4.0
0.020286,51.404575,24.4005,6.0
0.013601,51.408816,28.5572,7.0
0.008415,51.403314,21.1558,6.0
0.02417,51.400272,10.4015,4.0
0.033046,51.396584,4.63573,2.0
0.114022,51.344346,0.644017,1.0
0.088041,51.367411,7.12198,3.0
0.08453,51.361711,4.28869,2.0
0.089391,51.364356,3.21424,2.0
0.097955,51.360217,3.3141,2.0
0.106151,51.358508,3.08348,2.0
0.092207,51.35798,5.22803,3.0
0.092889,51.352744,3.45597,2.0
0.101113,51.352396,1.88459,1.0
0.074699,51.427354,0.864227,1.0
0.068471,51.423129,4.51981,2.0
0.06248,51.42314,4.50777,2.0
0.070272,51.420471,6.05187,3.0
0.080882,51.412224,2.73488,2.0
0.049886,51.418137,4.15811,2.0
0.059513,51.417045,2.09427,1.0
0.071372,51.41121,3.85493,2.0
0.058525,51.408427,6.06957,3.0
0.092852,51.398659,3.03878,2.0
-0.059818,51.406549,14.3404,4.0
-0.046033,51.406454,12.92,4.0
-0.052982,51.406398,13.9283,4.0
-0.047313,51.408929,19.5921,5.0
-0.03863,51.407045,15.8188,5.0
-0.059023,51.403692,12.0814,4.0
-0.064891,51.404304,8.66781,3.0
-0.050972,51.403216,13.9242,4.0
-0.03884,51.403978,8.49433,3.0
-0.043215,51.400833,11.3352,4.0
-0.033508,51.410036,16.3467,5.0
-0.026955,51.415517,7.75415,3.0
-0.031275,51.414011,10.7344,4.0
-0.01985,51.411634,9.9824,3.0
-0.011742,51.41115,6.10035,3.0
-0.026016,51.408779,19.0414,5.0
-0.016358,51.407326,9.40138,3.0
-0.010566,51.405443,5.9385,3.0
-0.003847,51.404179,10.1245,4.0
-0.02401,51.419513,5.76209,3.0
0.116818,51.396238,6.42454,3.0
0.123853,51.395056,0.28618,1.0
0.12086,51.392742,2.03274,1.0
0.106435,51.389803,10.9295,4.0
0.121528,51.380587,3.18145,2.0
0.11801,51.389597,2.02463,1.0
0.110157,51.385037,8.85412,3.0
